artist_1,artist_2,count,song_ids
Future,Juice WRLD,12,"['5274I4mUMnYczyeXkGDWZN', '2OsDoAzo5SGq10qwmKSQBv', '2vs5ubqg8QUbfyWZpMfvWe', '3fFBZvG777xoKyvcrBq7lc', '6gzIcEUuswJQGfJNPYMjjv', '1hHe7cirScEJWgAS0JFqTL', '4VMiNOpnjRwSCwmHaUfOMM', '3thLnNvO9IctWoccbsZyJV', '5ExHDzOoOhC4xZGPh9zyQZ', '3xBHLZwRfi0fjO9euaj5zf', '0JR7iZZ6Ql79sXW3rbiS3F', '7L95O7D34EWhwtDCQkwGMR']"
Gunna,Lil Baby,10,"['0kCBorRrKZkSztd9m0QI3r', '78QR3Wp35dqAhFEc2qAGjE', '6wWaVoUOzLQJHd3bWAUpdZ', '6PoKfDY78ih5OveWirggRX', '7roKDmJDOzkpfGpUQJ5EnL', '1yQvL8SzbF5JCroRKk9F07', '3F57PtOdqRpD6euFYqtKXX', '2Am26UXisQ91vBLYdqd7Pa', '4T7cJdrTRqOBESPYfvfj2x', '4F6yN5FsFW10Ucx7cLCzBh']"
Bonez MC,RAF Camora,8,"['4UOXo3xWnxYdTf3sFyRaUG', '6pLKMPAUlBCjHjylj2Nbd9', '4Bj3usjRTckEJARO0dLbDf', '2SRVj6ceeIffVEm9NFyRHI', '4XHP5B63UsW0GniEx7oMHu', '4JxvECbZ3Oes1eUrmhQNSH', '6Cy4jkukjKnIqGYkU7xCeF', '3uMpllxUKlpuXHczoHJ0U5']"
Rae Sremmurd,Swae Lee,7,"['1BuZAIO8WZpavWVbbq3Lci', '07VJGBnywGutMZ72kRyEop', '0TCnOEVeLQMXOUrpPlM7uY', '1oUudyBYVGMIC8JXeIsFzq', '2TtWdYXulGcHCeUJUWwZ4M', '6nI74KsH94IN0J2vp5shdT', '4669wTPqp7Xwz2H7v4QKi1']"
Metro Boomin,Travis Scott,6,"['5u6vkDnOyaf8LsteDAj2ub', '2mYDDUkBcgFNBqkWctyyuc', '6osMzmRHCVETbZMHceLRmh', '1HLL8X0LH20F6Z9SLXLIjr', '27P4XoNXXEV4lTc3sB61RK', '2kJAhu7mesSEkML8zviSNX']"
Slim Jxmmi,Swae Lee,6,"['1BuZAIO8WZpavWVbbq3Lci', '0TCnOEVeLQMXOUrpPlM7uY', '1oUudyBYVGMIC8JXeIsFzq', '2TtWdYXulGcHCeUJUWwZ4M', '6nI74KsH94IN0J2vp5shdT', '4669wTPqp7Xwz2H7v4QKi1']"
Rae Sremmurd,Slim Jxmmi,6,"['1BuZAIO8WZpavWVbbq3Lci', '0TCnOEVeLQMXOUrpPlM7uY', '1oUudyBYVGMIC8JXeIsFzq', '2TtWdYXulGcHCeUJUWwZ4M', '6nI74KsH94IN0J2vp5shdT', '4669wTPqp7Xwz2H7v4QKi1']"
Labrinth,Sia,4,"['73F87Sqh6jQWucOOvz1WFx', '7boPPE857KEqCIHNwFkDop', '4lJNen4SMTIJMahALc3DcB', '4gnZPWL9c1ZunZuqc8Asbu']"
LSD,Sia,4,"['73F87Sqh6jQWucOOvz1WFx', '7boPPE857KEqCIHNwFkDop', '4lJNen4SMTIJMahALc3DcB', '4gnZPWL9c1ZunZuqc8Asbu']"
DJ Luian,Mambo Kingz,4,"['5hcisvFMidkMJlElTO9Qmw', '3VClLWqNn80Llv0PJOsKgr', '7rwX0O3RlxqqIjQM8evm5E', '7dNwJbsT0sg1le5kVugGJb']"
Brytiago,Darell,4,"['6rbhaJsE4uLzpPf8WYSHDK', '56CvVCJYRQNWwM4vF4neCD', '59PYgzOiOjGDzjDT5N5oOX', '6R66bI4nkzvvNba80pWU2t']"
Metro Boomin,Offset,4,"['7sO5G9EABYOXQKNPNiE9NR', '5u6vkDnOyaf8LsteDAj2ub', '0KPiSFlz5OUCgw7nwvhYWe', '304CtPEPYQS6hbM4CubVti']"
LSD,Labrinth,4,"['73F87Sqh6jQWucOOvz1WFx', '7boPPE857KEqCIHNwFkDop', '4lJNen4SMTIJMahALc3DcB', '4gnZPWL9c1ZunZuqc8Asbu']"
Diplo,Sia,4,"['73F87Sqh6jQWucOOvz1WFx', '7boPPE857KEqCIHNwFkDop', '4lJNen4SMTIJMahALc3DcB', '4gnZPWL9c1ZunZuqc8Asbu']"
21 Savage,Metro Boomin,4,"['5u6vkDnOyaf8LsteDAj2ub', '0AluA5RNsa4Cx6XRhf2hWZ', '2Grb4G6t9VIqo6moKUloom', '1HLL8X0LH20F6Z9SLXLIjr']"
Diplo,Labrinth,4,"['73F87Sqh6jQWucOOvz1WFx', '7boPPE857KEqCIHNwFkDop', '4lJNen4SMTIJMahALc3DcB', '4gnZPWL9c1ZunZuqc8Asbu']"
Diplo,LSD,4,"['73F87Sqh6jQWucOOvz1WFx', '7boPPE857KEqCIHNwFkDop', '4lJNen4SMTIJMahALc3DcB', '4gnZPWL9c1ZunZuqc8Asbu']"
Ozuna,Wisin,4,"['1KSqYYJFyfTecXFk9M0prc', '7rwX0O3RlxqqIjQM8evm5E', '6jA8JUuPCGYjFcgw0AoM5T', '1aYcpI8hXtpAEdBq8fp1pH']"
6ix9ine,A Boogie Wit da Hoodie,3,"['7q1ikCoQLytPP5TTzDy7JK', '6o79O9qBP3OAkWOXajAQIS', '1wJRveJZLSb1rjhnUHQiv6']"
DrefGold,Sfera Ebbasta,3,"['4VVG3HBGaqSNZqIpmewIA6', '093RgZ7RXHZwIrxZhZYX4Q', '6gAySqc7QK27KEASxmc7Ag']"
