artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,KAROL G,790FomKkXshlbRYZFtlgla,1,['0dKg2vGC1hFqcK5LGTaKzX']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,1,['4NCsrTzgVfsDo8nWyP8PPc']
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,2,"['66VenHDtrQAw7FCjyF2J56', '6v3KW9xbzN5yKLt9YKDYA2']"
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,DaBaby,4r63FhuTkUYltbVAg5TQnk,1,['3yOlyBJuViE2YSGn3nVE1K']
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Post Malone,246dkjvS1zLTtiykXe5h60,1,['0RiRZpuVRbi7oqRdSMwhQY']
Anuel AA,2R21vXR83lH98kGeO99Y66,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,3,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK', '3kml9ZdpT7UYk1ugkjqOzt']"
Anuel AA,2R21vXR83lH98kGeO99Y66,KAROL G,790FomKkXshlbRYZFtlgla,3,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK', '2w1rq80FIrbxeJy9WYURxw']"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Anuel AA,2R21vXR83lH98kGeO99Y66,3,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK', '3qM0vBxIe4VUbK0Z0smuVP']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Anuel AA,2R21vXR83lH98kGeO99Y66,5,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK', '37zdqI4r1gswIzczSBkRon', '3jbT1Y5MoPwEIpZndDDwVq', '4bTZeO72FwMa6wKOiqoynL']"
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,KAROL G,790FomKkXshlbRYZFtlgla,2,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK']"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,3,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK', '35UUpTmrcFXNIVIN26ujXl']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,2,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK']"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,KAROL G,790FomKkXshlbRYZFtlgla,2,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,KAROL G,790FomKkXshlbRYZFtlgla,3,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK', '67jvGGbJmOmVonlyX3mNkV']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,3,"['0KkIkfsLEJbrcIhYsCL7L5', '2ksOAxtIxY8yElEWw8RhgK', '5y7DaS3jAc9eZzcSOoUIwU']"
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,1,['6Gg1gjgKi2AK4e0qzsR7sd']
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1,['0hVXuCcriWRGvwMV1r5Yn9']
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Farruko,329e4yvIujISKGKz1BZZbO,2,"['0A37XY67wSdGqkGjtfW6aV', '6mAN61JH0dzyZpWslS11jy']"
Khalid,6LuN9FCkKOj5PcnpouEgny,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1,['70eFcWOvlMObDhURTqT4Fv']
Billy Ray Cyrus,60rpJ9SgigSd16DOAG7GSa,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,1,['2YpeDb67231RjR0MgVLzsG']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Bad Bunny,4q3ewBCX7sLwd24euuV69X,5,"['0EhpEsp4L0oRGM0vmeaN5e', '0fea68AdmYNygeTGI4RC18', '25ZAibhr3bdlMCLmubZDVt', '4R8BJggjosTswLxtkw8V7P', '58q2HKrzhC3ozto2nDdN4z']"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,2,"['4w47S36wQGBhGg073q3nt7', '7h0d2h0fUmzbs7zeFigJPn']"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Lil Baby,5f7VJjfbwm532GiveGC0ZK,1,['7h0d2h0fUmzbs7zeFigJPn']
Lil Baby,5f7VJjfbwm532GiveGC0ZK,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['7h0d2h0fUmzbs7zeFigJPn']
