artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,1,['000xQL6tZNLJzIrtIgxqSl']
Young Thug,50co4Is1HCEo8bhOyUWKpn,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,2,"['003VDDA7J3Xb2ZFlNx7nIZ', '2c3qwFINQyRGwyqI97UQiA']"
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,Cardi B,4kYSro6naA4h99UJvo89HB,1,['00B7TZ0Xawar6NZ00JFomN']
Kygo,23fqKkggKUBHNkbKtXEls4,Donna Summer,2eogQKWWoohI3BSnoG7E2U,1,['00ETaeHUQ6lops3oWU1Wrt']
Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,1,['00R0fEFZGb5hyTgF1nrRCq']
DJ Ws da Igrejinha,0NB5wv4kn6A919CLHUKRmk,Tropa do Bruxo,4s3lxX76LwxzMdQEAFYdzv,1,['00ZKeP47bZtswtANkvxz2j']
SMU,2qATSoNFfzMaTEZFfJpG4c,Tropa do Bruxo,4s3lxX76LwxzMdQEAFYdzv,1,['00ZKeP47bZtswtANkvxz2j']
Triz,4ACGdFl6mPI3lntaYef1gc,Tropa do Bruxo,4s3lxX76LwxzMdQEAFYdzv,1,['00ZKeP47bZtswtANkvxz2j']
Mc Menor Thalis,3qjoOrsHcxhgKyBsh4ZOEn,Tropa do Bruxo,4s3lxX76LwxzMdQEAFYdzv,1,['00ZKeP47bZtswtANkvxz2j']
DJ Ws da Igrejinha,0NB5wv4kn6A919CLHUKRmk,SMU,2qATSoNFfzMaTEZFfJpG4c,1,['00ZKeP47bZtswtANkvxz2j']
DJ Ws da Igrejinha,0NB5wv4kn6A919CLHUKRmk,Triz,4ACGdFl6mPI3lntaYef1gc,1,['00ZKeP47bZtswtANkvxz2j']
DJ Ws da Igrejinha,0NB5wv4kn6A919CLHUKRmk,Mc Menor Thalis,3qjoOrsHcxhgKyBsh4ZOEn,1,['00ZKeP47bZtswtANkvxz2j']
SMU,2qATSoNFfzMaTEZFfJpG4c,Triz,4ACGdFl6mPI3lntaYef1gc,1,['00ZKeP47bZtswtANkvxz2j']
SMU,2qATSoNFfzMaTEZFfJpG4c,Mc Menor Thalis,3qjoOrsHcxhgKyBsh4ZOEn,1,['00ZKeP47bZtswtANkvxz2j']
Mc Menor Thalis,3qjoOrsHcxhgKyBsh4ZOEn,Triz,4ACGdFl6mPI3lntaYef1gc,1,['00ZKeP47bZtswtANkvxz2j']
YBN Nahmir,3gGUMEwIX6XodWsYEvKSal,DJ A1,7ao5uJZUsPeVpWlNkkjWyx,1,['00gpGR84M27moP7AFuqHIx']
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,1,['00ko9WaS4jOX1kEk3gvHjf']
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,DaBaby,4r63FhuTkUYltbVAg5TQnk,2,"['00ko9WaS4jOX1kEk3gvHjf', '0WoAkdHmgPmEXfiBox1flk']"
DaBaby,4r63FhuTkUYltbVAg5TQnk,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,1,['00ko9WaS4jOX1kEk3gvHjf']
Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,RAYE,5KKpBU5eC2tJDzf0wmlRp2,1,['00lNx0OcTJrS3MKHcB80HY']
DJ F7,1L5QOwu01wcDbozwIL1XXd,JC NO BEAT,1xglv0oUbyJaycWFhyec8U,1,['00rxTS5TKv3oXpDA6nWfBi']
JC NO BEAT,1xglv0oUbyJaycWFhyec8U,MC Meno Dani,3LqcLDGw41dRZKsM51H9GI,1,['00rxTS5TKv3oXpDA6nWfBi']
JC NO BEAT,1xglv0oUbyJaycWFhyec8U,Silva Mc,7v4hw85pzG0M9kJHlBGsi3,1,['00rxTS5TKv3oXpDA6nWfBi']
DJ F7,1L5QOwu01wcDbozwIL1XXd,MC Meno Dani,3LqcLDGw41dRZKsM51H9GI,1,['00rxTS5TKv3oXpDA6nWfBi']
