song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,album_label,ISRC,yearly_streams,artist_ids
Dance Monkey,Tones And I,,,Dance Monkey,2019-05-10,1rgnBhdG2JDFTbYkYRZAku,Sony Music Entertainment,QZES71982312,1196397504,2NjfBq1NflQcKSeiDooVjY
ROXANNE,Arizona Zervas,,,ROXANNE,2019-10-10,696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,USSM11914320,695769238,0vRvGUQVUjytro0xpb26bs
Tusa,"KAROL G, Nicki Minaj","reggaeton, latin, urbano latino, ",Latin,Tusa,2019-11-07,7k4t7uLgtOxPwTpFmtJNTY,TUSA - Karol G & Nicki Minaj,USUM71921183,765223780,"790FomKkXshlbRYZFtlgla, 0hCNtLu0JehylgoiP8L4Gh"
Circles,Post Malone,,,Hollywood's Bleeding,2019-09-06,21jGcNKet2qwijlDFuPiPb,Republic Records,USUM71915699,694285022,246dkjvS1zLTtiykXe5h60
Memories,Maroon 5,pop,Pop,Memories,2019-09-20,2b8fOow8UzyDFAE27YhOZM,222 Records/Interscope Records,USUM71913350,628945283,04gDigrS5kc9YWfZHwBETP
Falling,Trevor Daniel,,,Falling,2018-10-05,4TnjEaWOeW0eKTKIEvJyCa,Alamo Records,USUYG1221109,318593165,7uaIm6Pw7xplS8Dy06V6pT
Don't Start Now,Dua Lipa,pop,Pop,Don't Start Now,2019-10-31,6WrI0LAC5M1Rw2MnX2ZvEg,Warner Records,GBAHT1901121,372387921,6M2wZ9GZgrQXHCFfjv46we
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin","reggaeton, latin",Latin,RITMO (Bad Boys For Life),2019-10-12,6cy3ki60hLwimwIje7tALf,Epic/We The Best,USSM11912430,293888998,"1yxSLGMDHlW21z4YXirZDS, 1vyhD5VmyZ7KMfW5gqLgo5"
Señorita,"Shawn Mendes, Camila Cabello",pop,Pop,Shawn Mendes (Deluxe),2019-06-19,6v3KW9xbzN5yKLt9YKDYA2,Island Records,USUM71911283,569344192,"7n2wHs1TKAczGzO7Dd2rGr, 4nDoRrQiYLoBzwC5BhVJzF"
Blinding Lights,The Weeknd,,,Blinding Lights,2019-11-29,0sf12qNH5qcw8qpgymFOqD,Republic Records,USUG11904206,418324823,1Xyo4u8uXC1ZmMpatF05PJ
The Box,Roddy Ricch,melodic rap,Hip Hop,Please Excuse Me for Being Antisocial,2019-12-06,0nbXyq5TXYPCO7pr3N8S4I,Atlantic Records,USAT21906978,1036463444,757aE44tKEUQEqRuT6GnEB
bad guy,Billie Eilish,,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,2Fxmhks0bxGSBdJ92vM42m,Darkroom/Interscope Records,USUM71900764,562076195,6qqNVTkY8uBg9cP3Jd7DAH
everything i wanted,Billie Eilish,,,everything i wanted,2019-11-13,3ZCTVFBt2Brf31RLEnCkWJ,Darkroom/Interscope Records,USUM71922577,550249358,6qqNVTkY8uBg9cP3Jd7DAH
Someone You Loved,Lewis Capaldi,soft pop,Pop,Divinely Uninspired To A Hellish Extent,2019-05-17,7qEHsqek33rTcFNT9PFqLf,Vertigo Berlin,DEUM71807062,787306360,4GNC7GD6oZMSxPGyXy4MNB
Adore You,Harry Styles,,,Fine Line,2019-12-13,3jjujdWJ72nww5eGnfs2E7,Columbia,USSM11912588,596575002,6KImCVD70vtIoJWnq6nGn3
Vete,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Vete,2019-11-21,5DxXgozhkPLgrbKFY91w0c,Rimas Entertainment LLC,QMFME1914637,116749621,4q3ewBCX7sLwd24euuV69X
My Oh My (feat. DaBaby),"Camila Cabello, DaBaby","pop, ",Pop,Romance,2019-12-06,3yOlyBJuViE2YSGn3nVE1K,Syco Music/Epic,USSM11914257,251076877,"4nDoRrQiYLoBzwC5BhVJzF, 4r63FhuTkUYltbVAg5TQnk"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",,,Hollywood's Bleeding,2019-09-06,0RiRZpuVRbi7oqRdSMwhQY,Republic Records,USUM71814888,475301041,"246dkjvS1zLTtiykXe5h60, 1zNqQNIdeOUZHb8zbZRFMX"
hot girl bummer,blackbear,,,hot girl bummer,2019-08-23,7aiClxsDWFRQ0Kzk5KI5ku,Beartrap/ Alamo/ Interscope Records,USUG11902959,291630239,2cFrymmkijnjDg9SS92EPM
China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","reggaeton, trap latino, urbano latino, latin",Latin,China,2019-07-19,2ksOAxtIxY8yElEWw8RhgK,"2019 Real Hasta La Muerte, LLC.",QM6P41952433,169925838,"2R21vXR83lH98kGeO99Y66, 4VMYDCV2IEDYJArk749S6m, 790FomKkXshlbRYZFtlgla, 1vyhD5VmyZ7KMfW5gqLgo5, 1i8SpTcr7yvPOmcqrbnVXY"
Lose You To Love Me,Selena Gomez,pop,Pop,Lose You To Love Me,2019-10-23,1HfMVBKM75vxSfsQ5VefZ5,Interscope Records,USUM71918727,21535056,0C8ZW7ezQVs4URX5aX7Kqx
BOP,DaBaby,,,KIRK,2019-09-27,6Ozh9Ok6h4Oi1wUSLtBseN,South Coast Music Group/Interscope Records,USUM71918972,217942418,4r63FhuTkUYltbVAg5TQnk
Ride It,Regard,,,Ride It,2019-07-26,2tnVG71enUj33Ic2nFN6kZ,Ministry of Sound Recordings,GBCEN1900047,449226281,4ofCBoyEiGSePFAG500xev
Watermelon Sugar,Harry Styles,,,Fine Line,2019-12-13,6UelLqGlWMcVH1E5c4H7lY,Columbia,USSM11912587,853568745,6KImCVD70vtIoJWnq6nGn3
HIGHEST IN THE ROOM,Travis Scott,rap,Hip Hop,HIGHEST IN THE ROOM,2019-10-04,3eekarcy7kvN4yt5ZFzltW,Cactus Jack/Epic,USSM11904276,473186413,0Y5tJX1MQlPlqiwlOH1tJY
Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again","melodic rap, emo rap, ",Hip Hop,Bandit (with YoungBoy Never Broke Again),2019-10-04,6Gg1gjgKi2AK4e0qzsR7sd,Grade A Productions/Interscope Records,USUG11903492,222244180,"4MCBfE4596Uoi2O4DtmEMz, 7wlFDEWiM5OoIAt8RSli8b"
I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber","soft pop, ",Pop,No.6 Collaborations Project,2019-07-12,0hVXuCcriWRGvwMV1r5Yn9,Atlantic Records UK,GBAHS1900672,369457486,"6eUKZXaKkcviH0Ku9w2n3V, 1uNFoZAHBGtllmzznpCI3s"
Fantasias,"Rauw Alejandro, Farruko","reggaeton, urbano latino, trap latino, latin",Latin,Fantasias,2019-08-29,6mAN61JH0dzyZpWslS11jy,"(SME US Latin) Duars Entertainment, Corp. (2)",QM6P41989279,182089115,"1mcTU81TzQhprhouKaTkpq, 329e4yvIujISKGKz1BZZbO"
Beautiful People (feat. Khalid),"Ed Sheeran, Khalid","soft pop, ",Pop,No.6 Collaborations Project,2019-07-12,70eFcWOvlMObDhURTqT4Fv,Atlantic Records UK,GBAHS1900885,303538986,"6eUKZXaKkcviH0Ku9w2n3V, 6LuN9FCkKOj5PcnpouEgny"
