song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
Kill Bill,SZA,r&b,R&B,SOS,2022-12-08,1Qrg8KqiBpW07V7PNxwwwL,1409505641,7tYKF4w9nC0nq9CsPZTHyP
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras","soft pop, ",Pop,Gloria,2023-01-27,0NZPBYD5qbEWRs3PrGiRkT,701952813,"2wY79sveU1sp5g7SokKOiI, 3Xt3RrJMFv5SZkCfUE8C1J"
As It Was,Harry Styles,,,Harry's House,2022-05-20,4Dvkj6JhhA12EX05fT7y2e,1169483131,6KImCVD70vtIoJWnq6nGn3
I'm Good (Blue),"David Guetta, Bebe Rexha","edm, dance, ",Electronic,I'm Good (Blue),2022-08-26,4uUG5RXrOk84mYEfFvj3cK,843114750,"1Cs0zKBU1kc0i8ypK3B9ai, 64M6ah0SkkRsnPGtGiRAbb"
La Bachata,Manuel Turizo,"reggaeton, latin, colombian pop","Pop, Latin",2000,2023-03-17,3tt9i3Hhzq84dPS8H7iSiJ,780957928,0tmwSHipWxN12fsoLcFU3B
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","argentine trap, trap latino, urbano latino, reggaeton","Hip Hop, Latin","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,2tTmW7RDtMQtBk7m2rYeSw,592894725,"716NhGYqD1jl2wI1Qkgq36, 52iwsT98xCoGgiGntTiR7K"
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",,,HEROES & VILLAINS,2022-12-02,2dHHgzDwk4BJdRwy9uXhTO,988851470,"0iEtIxbK0KxaSlF7G42ZOp, 1Xyo4u8uXC1ZmMpatF05PJ, 1URnnhqYAYcrqrcwql10ft"
Me Porto Bonito,"Bad Bunny, Chencho Corleone","reggaeton, trap latino, latin, urbano latino",Latin,Un Verano Sin Ti,2022-05-06,6Sq7ltF9Qa7SNFBsV5Cogx,549174507,"4q3ewBCX7sLwd24euuV69X, 37230BxxYs9ksS7OkZw3IU"
Tití Me Preguntó,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Un Verano Sin Ti,2022-05-06,1IHWl5LamUGEuP4ozKQSXZ,309132388,4q3ewBCX7sLwd24euuV69X
Anti-Hero,Taylor Swift,,,Midnights,2022-10-21,0V3wPSX9ygBnCm8psDIegu,889136937,06HL4z0CvFAxyc27GXpf02
La Jumpa,"Arcángel, Bad Bunny","reggaeton, trap latino, urbano latino, latin",Latin,Sr. Santos,2022-12-01,2mnXxnrX5vCGolNkaFvVeM,401046099,"4SsVbpTthjScTS7U2hmr1X, 4q3ewBCX7sLwd24euuV69X"
DESPECHÁ,ROSALÍA,latin,Latin,MOTOMAMI +,2022-09-09,53tfEupEzQRtVFOeZvk7xq,232406887,7ltDVBr6mKbRvohxheJ9h1
Rich Flex,"Drake, 21 Savage","rap, hip hop, ",Hip Hop,Her Loss,2022-11-04,1bDbXMyjaUIooNwFE9wn0N,304274723,"3TVXtAsR1Inumwj472S9r4, 1URnnhqYAYcrqrcwql10ft"
Hey Mor,"Ozuna, Feid","reggaeton, latin, trap latino, urbano latino",Latin,OzuTochi,2022-10-07,1zsPaEkglFvxjAhrM8yhpr,568499659,"1i8SpTcr7yvPOmcqrbnVXY, 2LRoIwlKmHjgvigdNGBHNo"
Calm Down (with Selena Gomez),"Rema, Selena Gomez","afrobeats, afrobeat, afropop, afropiano, pop","Traditional music, R&B, Pop",Rave & Roses Ultra,2023-04-27,1s7oOCT8vauUh01PbJD6ps,906587838,"46pWGuE3dSwY3bMMXGBvVS, 0C8ZW7ezQVs4URX5aX7Kqx"
Made You Look,Meghan Trainor,,,Takin' It Back,2022-10-21,0QHEIqNKsMoOY5urbzN48u,248609885,6JL8zeS1NmiOftqZTRgdTz
I Ain't Worried,OneRepublic,soft pop,Pop,OneRepublic (Japan Paradise Tour Edition),2023-02-15,4fYte8ZvTK14NEhAOZocBi,717110337,5Pwc4xIPtQLFEnJriah9YJ
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",,,Until I Found You (Em Beihold Version),2022-04-22,1Y3LN4zO1Edc2EluIoSPJN,635137717,"5XKFrudbV4IiuE5WuTPRmT, 7o2ZQYM7nTsaVdkXY38UAA"
Efecto,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Un Verano Sin Ti,2022-05-06,5Eax0qFko2dh7Rl2lYs3bx,261541087,4q3ewBCX7sLwd24euuV69X
golden hour,JVKE,,,this is what ____ feels like (Vol. 1-4),2022-09-23,5odlY52u43F5BjByhxg7wg,666694640,164Uj4eKjl6zTBKfJLFKKK
Another Love,Tom Odell,,,Long Way Down,2013-06-17,7jtQIBanIiJOMS6RyCx6jZ,772524522,2txHhyCwHjUEpJjWrEyqyX
Ojitos Lindos,"Bad Bunny, Bomba Estéreo","reggaeton, trap latino, latin, urbano latino, latin alternative",Latin,Un Verano Sin Ti,2022-05-06,3k3NWokhRRkEPhCzPmV8TW,369243939,"4q3ewBCX7sLwd24euuV69X, 5n9bMYfz9qss2VOW89EVs2"
CUFF IT,Beyoncé,,,RENAISSANCE,2022-07-29,1xzi1Jcr7mEi9K2RfzLOqS,264325580,6vWDO969PvNqNYHIOW5v0m
Escapism.,"RAYE, 070 Shake",,,My 21st Century Blues,2023-02-03,5mHdCZtVyb4DcJw8799hZp,427862919,"5KKpBU5eC2tJDzf0wmlRp2, 12Zk1DFhCbHY6v3xep2ZjI"
Maan Meri Jaan,King,"desi hip hop, hindi hip hop, desi pop, hindi pop, hindi indie, desi","Hip Hop, Pop, Rock",Champagne Talk,2022-09-13,1418IuVKQPTYqt7QNJ9RXN,119029917,5NHm4TU5Twz7owibYxJfFU
Die For You,The Weeknd,,,Starboy,2016-11-24,2LBqCSwhJGcFQeTHMVGwy3,851940796,1Xyo4u8uXC1ZmMpatF05PJ
Gato de Noche,"Ñengo Flow, Bad Bunny","reggaeton, trap latino, latin, urbano latino",Latin,Gato de Noche,2022-12-22,54ELExv56KCAB4UP9cOCzC,210026758,"12vb80Km0Ew53ABfJOepVz, 4q3ewBCX7sLwd24euuV69X"
Heat Waves,Glass Animals,,,Dreamland,2020-08-07,3USxtqRwSYz57Ewm6wWRMp,547008211,4yvcSjfu4PC0CYQyLy4wSq
Yonaguni,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Yonaguni,2021-06-04,2JPLbjOn0wPCngEot2STUS,14022244,4q3ewBCX7sLwd24euuV69X
Here With Me,d4vd,,,Here With Me,2022-09-22,0dS2u2UFd88TIzDDaZDLvS,680524474,5y8tKLUfMvliMe8IKamR32
Bloody Mary,Lady Gaga,"art pop, pop",Pop,Born This Way (Special Edition),2011-01-01,11BKm0j4eYoCPPpCONAVwA,126016183,1HY2Jd0NmPuamShAr6KMms
Under The Influence,Chris Brown,r&b,R&B,Indigo (Extended),2019-10-04,5IgjP7X4th6nMNDh4akUHb,409164223,7bXgB6jMjp9ATFy66eO08Z
Neverita,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Un Verano Sin Ti,2022-05-06,31i56LZnwE6uSu3exoHjtB,107038013,4q3ewBCX7sLwd24euuV69X
Miss You,"Oliver Tree, Robin Schulz",tropical house,Electronic,Miss You,2022-08-05,73vIOb4Q7YN6HeJTbscRx5,175783552,"6TLwD7HPWuiOzvXEa3oCNe, 3t5xRXzsuZmMDkQzgOX35S"
Mockingbird,Eminem,"rap, hip hop",Hip Hop,Encore (Deluxe Version),2004-11-12,561jH07mF1jHuk7KlaeF0s,618215003,7dGJo4pcD2V6oG8kP0tJRR
Blinding Lights,The Weeknd,,,After Hours,2020-03-20,0VjIjW4GlUZAMYd2vXMi3b,643904615,1Xyo4u8uXC1ZmMpatF05PJ
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU","pop, ",Pop,The Lockdown Sessions,2021-10-22,6JIC3hbC28JZKZ8AlAqX8h,448210607,"3PhoLpVuITZKcymswpck5b, 6M2wZ9GZgrQXHCFfjv46we, 6n28c9qs9hNGriNa72b26u"
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",,,F*CK LOVE 3+: OVER YOU,2021-07-27,567e29TDzLwZwfDuEpGTwo,571467489,"2tIP7SsRs7vjIcLrU85W8J, 1uNFoZAHBGtllmzznpCI3s"
LET GO,Central Cee,"uk drill, drill, grime","Hip Hop, Electronic, Pop",LET GO,2022-12-15,3zkyus0njMCL6phZmNNEeN,167207279,5H4yInM5zmHqpKIoMNAx4r
Bad Habit,Steve Lacy,,,Gemini Rights,2022-07-15,4k6Uh1HXdhtusDW5y8Gbvy,280198026,57vWImR43h4CaDao012Ofp
I Wanna Be Yours,Arctic Monkeys,"indie, garage rock",Rock,AM,2013-09-09,5XeFesFbtLpXzIVDNQP22n,913517023,7Ln80lUS6He07XvHI8qqHH
Romantic Homicide,d4vd,,,Romantic Homicide,2022-07-20,1xK59OXxi2TAAAbmZK0kBL,562291837,5y8tKLUfMvliMe8IKamR32
No Se Va - EN VIVO,Grupo Frontera,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, corridos bélicos, tejano",Latin,No Se Va (EN VIVO),2022-04-28,23Lyy7ZXRvzfgH4JtDkKrX,141669214,6XkjpgcEsYab502Vr1bBeW
Ditto,NewJeans,k-pop,Pop,Ditto,2022-12-19,3r8RuvgbX9s7ammBn07D3W,299934421,6HvZYsbFfjnjFrWF950C9d
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela","sertanejo, sertanejo universitário, piseiro, agronejo, arrocha","Country, Latin","Let's Bora, Vol. 2 (Ao Vivo)",2023-03-02,0SCMVUZ21uYYB8cc0ScfbV,99798598,"41QLxRXlc2NwfJZkHGHKid, 2CKOmarVWvWqkNWUatHCex"
LOKERA,"Rauw Alejandro, Lyanno, Brray","reggaeton, urbano latino, trap latino, latin",Latin,SATURNO,2023-01-24,1aUq8rjW1EwkAkMri4VfJy,131203765,"1mcTU81TzQhprhouKaTkpq, 1Ts9of7VPZElwPQnqnDSfW, 1GKIlPFdcewHtpDVCQ8zmJ"
Sweater Weather,The Neighbourhood,,,I Love You.,2013-04-19,0cQVqPuHQP4KEwc7ZUQmj6,669092160,77SW9BnxLY8rJ0RciFqkHh
Just Wanna Rock,Lil Uzi Vert,melodic rap,Hip Hop,Pink Tape,2023-06-30,4Ls53fBNVfaXTROBi6X8Hw,297078665,4O15NlyKLIASxsJ0PrXPfz
SNAP,Rosa Linn,,,SNAP PACK,2022-07-15,6zJejIfVYLgjud3lTk4DLB,337265058,46xBNx0j6cwY6sD9LgMTm1
Evoque Prata,"MC MENOR HR, MC MENOR SG, DJ ESCOBAR","funk, funk carioca, funk de bh, brazilian funk","Hip Hop, R&B, R&b",Evoque Prata,2022-09-09,1597vvneWf0zoQrg2D8yH6,25741127,"33yjk1kQbu7otNngO5pQb8, 3hXocXy7cs7SZ1JLZUgKBp, 65tpb4BwAnD3HOUs8MC6TB"
Feliz Cumpleaños Ferxxo,Feid,"reggaeton, urbano latino",Latin,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14,2CeKVsFFXG4QzA415QygGb,423827308,2LRoIwlKmHjgvigdNGBHNo
About Damn Time,Lizzo,,,Special,2022-07-15,6HMtHNpW6YPi1hrw9tgF8P,78108519,56oDRnqbIiwx4mymNEv7dS
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez","sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró","Country, Latin",Eu Gosto Assim (Ao Vivo),2022-09-16,4ASA1PZyWGbuc4d9N8OAcF,34153065,"1X6ORK7IekgmyjV6IFPszP, 0BHm7qbh3ENxvXzkQAG7MP"
Moscow Mule,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Un Verano Sin Ti,2022-05-06,6Xom58OOXk2SoU711L2IXO,88781414,4q3ewBCX7sLwd24euuV69X
Gatita,Bellakath,"reggaeton mexa, reggaeton, neoperreo","Electronic, Latin",Gatita,2022-10-05,4ilZV1WNjL7IxwE81OnaRY,28388104,4yjm4SvYqC5FFuLbB6TyHr
