spotify_track_id,song_name,artist_names,artist_ids,yearly_streams,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,['Xavi'],['3Me35AWHCGqW4sZ7bWWJt1'],592984615,Latin,"corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda",La Diabla,2023-11-30,Interscope Records,2023-11-30,day,single
3rUGC1vUpkDG9CZFHMur1t,greedy,['Tate McRae'],['45dkTj5sMRSjrmBSBeiHym'],1013271071,,,greedy,2023-09-15,RCA Records Label,2023-09-15,day,single
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],1139005906,,,Lover,2019-08-23,Taylor Swift,2019-08-23,day,album
4xhsWYTOGcal8zt0J161CU,Lovin On Me,['Jack Harlow'],['2LIk90788K0zvyj2JJVwkJ'],465782968,,,Lovin On Me,2023-11-10,Generation Now/Atlantic,2023-11-10,day,single
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,['Mitski'],['2uYWxilOVlUdk4oV9DvwqK'],932255444,,,The Land Is Inhospitable and So Are We,2023-09-15,Dead Oceans,2023-09-15,day,album
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,['Xavi'],['3Me35AWHCGqW4sZ7bWWJt1'],354679751,Latin,"corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda",La Víctima,2023-08-17,Interscope Records,2023-08-17,day,single
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"['Jung Kook', 'Latto']","['6HaGTQPmzraVmaVxvz6EUc', '3MdXrJWsbVzdn6fe5JYkSQ']",804885820,Pop,"k-pop, ",GOLDEN,2023-11-03,BIGHIT MUSIC,2023-11-03,day,album
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","['The Weeknd', 'JENNIE', 'Lily-Rose Depp']","['1Xyo4u8uXC1ZmMpatF05PJ', '250b0Wlc5Vk0CoUsaCY84M', '1pBLC0qVRTB5zVMuteQ9jJ']",959808133,Pop,"k-pop, ",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,XO / Republic Records,2023-06-23,day,single
05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,"['Peso Pluma', 'Anitta']","['12GqGscKJx3aE4t07u7eVZ', '7FNnA9vBm6EKceENgCGRMb']",250248217,"Latin, Pop, R&B, Hip Hop","corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda, brazilian pop, funk pop, funk carioca, funk, pagode baiano",BELLAKEO,2023-12-07,Double P Records,2023-12-07,day,single
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],388030153,,,Scarlet,2023-09-20,Kemosabe Records/RCA Records,2023-09-20,day,album
