spotify_track_id,song_name,artist_names,artist_ids,all_time_streams,years_on_chart,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR","5ZsFI1h6hIdQRw2ti0hz81, 2HPaUgqeutzr3jx5a9WyDV",106734890,2017,R&B,r&b,Still Got Time (feat. PARTYNEXTDOOR),2017-03-23,RCA Records Label,2017-03-23,day,single
003VDDA7J3Xb2ZFlNx7nIZ,YELL OH,"Trippie Redd, Young Thug","6Xgp2XMz1fhVYe7i6yNAax, 50co4Is1HCEo8bhOyUWKpn",1730738,2020,Hip Hop,"melodic rap, rap, trap",YELL OH,2020-02-07,"TenThousand Projects, LLC",2020-02-07,day,single
003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,9809956,2018,,,Growing Pains,2018-06-15,Def Jam Recordings,2018-06-15,day,single
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,0C0XlULifJtAgn6ZNCW2eu,781058438,"2020,2021,2022,2023,2024",Rock,alternative rock,Hot Fuss,2004-00-00,Island Records,2004,year,album
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),"Cardi B, Chance the Rapper","4kYSro6naA4h99UJvo89HB, 1anyVhU62p31KFi8MEzkbf",11882167,2018,,,Invasion of Privacy,2018-04-06,Atlantic/KSR,2018-04-06,day,album
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"Post Malone, The Weeknd","246dkjvS1zLTtiykXe5h60, 1Xyo4u8uXC1ZmMpatF05PJ",301860377,"2021,2022",,,One Right Now,2021-11-05,Republic Records,2021-11-05,day,single
00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"Thalia, NATTI NATASHA","23wEWD21D4TPYiJugoXmYb, 1GDbiv3spRmZ1XdM1jQbT7",99336818,2018,"Latin, Pop","latin pop, reggaeton, latin, urbano latino",No Me Acuerdo,2018-06-01,Sony Music Latin,2018-06-01,day,single
00ETaeHUQ6lops3oWU1Wrt,Hot Stuff,"Kygo, Donna Summer","23fqKkggKUBHNkbKtXEls4, 2eogQKWWoohI3BSnoG7E2U",1841298,2020,"R&B, Electronic","tropical house, disco, hi-nrg",Hot Stuff,2020-09-18,RCA Records Label,2020-09-18,day,single
00Ga884hbpVvCNyeQdle1U,Violet Chemistry,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,5232060,2023,,,Endless Summer Vacation,2023-03-10,Columbia,2023-03-10,day,album
00I41xsW6SunZDJ5fB8KAd,Safety Zone,j-hope,0b1sIQumIAsNbqAoIClSpy,1471444,2022,"Pop, Hip Hop","k-pop, k-rap",Jack In The Box,2022-07-15,BIGHIT MUSIC,2022-07-15,day,album
00R0fEFZGb5hyTgF1nrRCq,Look Over Your Shoulder (feat. Kendrick Lamar),"Busta Rhymes, Kendrick Lamar","1YfEcTuGvBQ8xSD1f53UnK, 2YZyLoL8N0Wb9xBt1NhZWg",1031844,2020,Hip Hop,"east coast hip hop, hip hop, west coast hip hop",Extinction Level Event 2: The Wrath of God,2020-10-30,"The Conglomerate Entertainment, Inc. / EMPIRE",2020-10-30,day,album
00TVmX9spquyg0UKuN57l3,HOLD ME TIGHT OR DON’T,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,557997,2018,"Rock, Pop","emo, pop punk, emo pop",M A N I A,2018-01-19,Island Records,2018-01-19,day,album
