artist_name,artist_id,genres,num_hits,num_collab_hits
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,"brooklyn drill, drill, hip hop, new york drill, pop, uk drill",4,3
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"afro soul, afrobeat, afrobeats, afropiano, afropop, afroswing, alté, emo rap, hip hop, melodic rap, pop, r&b, traditional music",11,7
GAYLE,2VSHKHBTiXWplO8lxcnUC9,,1,0
Elton John,3PhoLpVuITZKcymswpck5b,"pop, soft pop",4,3
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"dancehall, edm, electronic, hip hop, melodic rap, pop, rap, traditional music, trap",9,6
PNAU,6n28c9qs9hNGriNa72b26u,pop,1,1
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,,1,0
Farruko,329e4yvIujISKGKz1BZZbO,"latin, reggaeton, trap latino",1,0
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,,5,2
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,"hip hop, r&b, rap",16,6
Adele,4dpARuHxo51G3z768sgnrY,"pop, soft pop",4,0
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,,6,2
JID,6U3ybJ9UHNKEdsH7ktGBZ7,"hip hop, rap",2,2
Arcane,57nPqD7z62gDdq37US9XJR,,2,2
League of Legends,47mIJdHORyRerp4os813jD,"edm, electronic",3,3
ACRAZE,4pnp4w9g30yLfVIAFnZMRd,"electronic, tech house",1,1
Cherish,1c70yCa8sRgIiQxl3HOEFo,"electronic, tech house",1,1
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"afro soul, afrobeat, afrobeats, afropiano, afropop, afroswing, argentine trap, dancehall, emo, hip hop, latin, metal, metalcore, pop, post-hardcore, r&b, reggaeton, rock, screamo, soft pop, traditional music, trap latino",20,10
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,,7,0
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,r&b,11,4
SZA,7tYKF4w9nC0nq9CsPZTHyP,"east coast hip hop, hardcore hip hop, hip hop, r&b, rap",25,6
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"edm, electro, electronic, french house, hip hop, latin, pop, rap",35,13
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"k-pop, pop",7,2
BTS,3Nrfpe0tUJi4K4DXYWgMUX,"emo rap, g-funk, gangster rap, hip hop, k-pop, melodic rap, pop, rap, soft pop, west coast hip hop",33,6
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"bachata, bachata pop, bedroom pop, latin, latin alternative, latin indie, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",39,19
Zé Felipe,7cmuxPnXRJxwuYDHfbD8Eu,"agronejo, arrocha, brazilian funk, brega, brega funk, country, forró, funk, hip hop, latin, pagode baiano, piseiro, pop, r&b, sertanejo, sertanejo universitário, tecnobrega",7,6
Mc Danny,3PZTvUS5fUUhV3EKAjqdZk,"agronejo, arrocha, brega, brega funk, country, forró, funk, latin, piseiro, pop, r&b, sertanejo, sertanejo universitário",2,2
DaBaby,4r63FhuTkUYltbVAg5TQnk,pop,1,1
Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,,1,0
CKay,048LktY5zMnakWq7PTtFrz,"afrobeat, afrobeats, afropop, pop, r&b, traditional music",2,1
George Henrique & Rodrigo,3FlCKtwOEYQQYyGVEbxG2Z,"agronejo, arrocha, country, forró, latin, sertanejo, sertanejo universitário",1,1
Marília Mendonça,1yR65psqiazQpeM79CcGh8,"agronejo, arrocha, brega, country, forró, latin, piseiro, seresta, sertanejo, sertanejo universitário",8,6
Måneskin,0lAWpj5szCSwM4rUMHYmrr,,4,0
Tainy,0GM7qgcRCORpGnfcN2tCiB,"latin, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",2,2
Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,"latin, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",1,1
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"latin, latin pop, pop, r&b, reggaeton, trap latino, urbano latino",12,9
Paulo Pires,3whgFbrRxsOmYVrq3t4hCY,"arrocha, brega, brega funk, country, forró, funk, latin, piseiro, pop, r&b, sertanejo",1,1
Marcynho Sensação,4dnPDc045bVjibyATxVUOs,"agronejo, arrocha, brega, brega funk, country, forró, funk, latin, piseiro, pop, r&b, seresta, sertanejo, sertanejo universitário",4,4
LISA,5L1lO4eRHmJ7a0Q6csE5cT,"k-pop, pop",1,0
Carolina Gaitán,4zonL9YdcI15v7dYqVLuMV,,1,1
Mauro Castillo,36CUTsdtNgCwMq6zKD1l8I,,1,1
