Artist,Genres,num_hits,num_collab_hits
Xavi,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",5,2
Tate McRae,,4,0
Taylor Swift,"baroque pop, pop",51,3
Jack Harlow,"k-pop, pop",2,1
Mitski,,1,0
Jung Kook,"hip hop, k-pop, k-rap, pop",5,3
Latto,"k-pop, pop",1,1
The Weeknd,"brazilian pop, electro, electronic, french house, funk, funk carioca, funk pop, hip hop, k-pop, latin, pagode baiano, pop, r&b, rage rap, rap",22,14
JENNIE,"hip hop, k-pop, k-rap, pop",4,3
Lily-Rose Depp,"k-pop, pop",2,2
Peso Pluma,"banda, brazilian pop, corrido, corridos bélicos, corridos tumbados, dembow, electro corridos, funk, funk carioca, funk pop, grupera, hip hop, latin, mariachi, música mexicana, norteño, pagode baiano, pop, r&b, ranchera, reggaeton, reggaeton mexa, sad sierreño, sierreño, urbano latino",29,28
Anitta,"argentine trap, banda, brazilian pop, corrido, corridos bélicos, corridos tumbados, electro corridos, funk, funk carioca, funk pop, hip hop, latin, música mexicana, pagode baiano, pop, r&b, sad sierreño, urbano latino",4,4
Doja Cat,,3,1
Bad Bunny,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, grupera, latin, música mexicana, norteño, reggaeton, tejano, trap latino, urbano latino",10,6
Feid,"latin, reggaeton, trap latino, urbano latino",13,11
KAROL G,"banda, big room, corrido, corridos bélicos, corridos tumbados, dance, edm, electro corridos, electronic, house, latin, latin pop, música mexicana, pop, reggaeton, sad sierreño, trance, urbano latino",7,4
Calle 24,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",2,2
Chino Pacas,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",5,4
Fuerza Regida,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, edm, electro corridos, electronic, grupera, latin, música mexicana, norteño, sad sierreño, sierreño, tejano",10,6
Tyla,"afrobeats, dancehall, hip hop, melodic rap, r&b, traditional music",3,1
Marshmello,"banda, corrido, corridos bélicos, corridos tumbados, edm, electro corridos, electronic, latin, música mexicana, sad sierreño, sierreño",1,1
Arctic Monkeys,"garage rock, indie, rock",5,0
Noah Kahan,country,4,2
Harry Styles,,2,0
Kenya Grace,,2,0
Maluma,"banda, corrido, grupera, latin, música mexicana, norteño, ranchera, reggaeton, sad sierreño, sierreño, urbano latino",3,2
Carin Leon,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, grupera, latin, música mexicana, norteño, ranchera, reggaeton, sad sierreño, sierreño, tejano, urbano latino",4,2
ATL Jacob,"latin, reggaeton, urbano latino",1,1
Playboi Carti,"hip hop, pop, rage rap, rap, trap",7,6
Madonna,"hip hop, rage rap",2,2
Grupo Frontera,"banda, corrido, corridos bélicos, corridos tumbados, cuarteto, cumbia, cumbia norteña, electro corridos, grupera, latin, música mexicana, norteño, ranchera, reggaeton, sad sierreño, sierreño, tejano, trap latino, urbano latino",8,6
Grupo Firme,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, grupera, latin, música mexicana, norteño, sierreño, tejano",2,1
Dua Lipa,"edm, electronic, pop",15,2
Daft Punk,"electro, electronic, french house, hip hop",1,1
Lauana Prado,"latin, sertanejo, sertanejo universitário",1,0
Luan Santana,"agronejo, arrocha, country, latin, piseiro, sertanejo, sertanejo universitário",2,2
Ana Castela,"agronejo, arrocha, brazilian pop, country, forró, funk, funk carioca, funk pop, hip hop, latin, pagode, pagode baiano, piseiro, pop, r&b, samba, sertanejo, sertanejo universitário",4,4
Gabito Ballesteros,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",7,7
Junior H,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño, trap latino, urbano latino",12,9
Olivia Rodrigo,,11,0
David Guetta,"dance, edm, electronic, pop, soft pop",4,4
Bebe Rexha,"dance, edm, electronic",1,1
SZA,"hip hop, r&b, rap, west coast hip hop",25,7
iñigo quintero,,1,0
Miley Cyrus,,5,2
Myke Towers,"argentine trap, hip hop, latin, reggaeton, trap, trap latino, urbano latino",7,5
David Kushner,,3,0
Oscar Maydon,"banda, corrido, corridos bélicos, corridos tumbados, dembow, electro corridos, latin, música mexicana, sad sierreño, sierreño",8,8
Rema,"afrobeat, afrobeats, afropiano, afropop, pop, r&b, traditional music",1,1
Selena Gomez,"afrobeat, afrobeats, afropiano, afropop, pop, r&b, soft pop, traditional music",4,3
cassö,"electronic, grime, pop, uk drill",1,1
RAYE,"electronic, grime, pop, uk drill",1,1
D-Block Europe,"electronic, grime, pop, uk drill",1,1
UMI,"k-pop, pop",1,1
V,"christmas, jazz, k-ballad, k-pop, pop",5,3
Lord Huron,,1,0
Rihanna,"edm, electronic, hip hop, rap",9,4
Calvin Harris,"edm, electronic, pop",7,5
Eslabon Armado,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",3,3
JID,"hip hop, rap",3,3
21 Savage,"afrobeat, afrobeats, afropiano, afropop, afroswing, alternative r&b, dancehall, drill, hip hop, melodic rap, pop, r&b, rap, traditional music, trap",19,13
Baby Tate,,1,1
Billie Eilish,"art pop, hyperpop, pop",19,3
Gunna,"afrobeats, dancehall, hip hop, melodic rap, r&b, traditional music",4,1
Vishal Mishra,"bollywood, desi, hindi pop, hip hop, pop",1,1
Raj Shekhar,"bollywood, desi, hindi pop, hip hop, pop",1,1
Zach Bryan,"country, folk/acoustic, red dirt, singer-songwriter",12,2
Kacey Musgraves,"country, red dirt",1,1
Jimin,"hip hop, k-pop, k-rap, pop",10,3
The Neighbourhood,,4,0
Quevedo,"latin, reggaeton, trap latino, urbano latino",7,2
Vance Joy,"folk pop, pop",2,0
The Killers,"alternative rock, rock",1,0
Manuel Turizo,"colombian pop, latin, pop, reggaeton",1,0
Black Eyed Peas,,1,0
Tyler,"hip hop, rap",17,17
