song_id,song_name,Artist,chart_days,song_type,release_date,best_date_decimal,total_streams
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",121,Collaboration,2017-03-23,2017.2383561643835,106734890
003VDDA7J3Xb2ZFlNx7nIZ,YELL OH,"Trippie Redd, Young Thug",2,Collaboration,2020-02-07,2020.1010928961748,1730738
003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,14,Solo,2018-06-15,2018.4520547945206,9809956
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,789,Solo,2004,2024.9972677595629,781058438
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),"Cardi B, Chance the Rapper",14,Collaboration,2018-04-06,2018.268493150685,11882167
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"Post Malone, The Weeknd",210,Collaboration,2021-11-05,2021.8438356164384,301860377
00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"Thalia, NATTI NATASHA",115,Collaboration,2018-06-01,2018.6849315068494,99336818
00ETaeHUQ6lops3oWU1Wrt,Hot Stuff,"Kygo, Donna Summer",2,Collaboration,2020-09-18,2020.7131147540983,1841298
00Ga884hbpVvCNyeQdle1U,Violet Chemistry,Miley Cyrus,2,Solo,2023-03-10,2023.186301369863,5232060
00I41xsW6SunZDJ5fB8KAd,Safety Zone,j-hope,1,Solo,2022-07-15,2022.5342465753424,1471444
00R0fEFZGb5hyTgF1nrRCq,Look Over Your Shoulder (feat. Kendrick Lamar),"Busta Rhymes, Kendrick Lamar",1,Collaboration,2020-10-30,2020.827868852459,1031844
00TVmX9spquyg0UKuN57l3,HOLD ME TIGHT OR DON’T,Fall Out Boy,1,Solo,2018-01-19,2018.0575342465754,557997
00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",24,Collaboration,2023-09-29,2023.8219178082193,62094603
00gpGR84M27moP7AFuqHIx,Bounce Out With That FT. YBN Nahmir,YBN Nahmir,7,Collaboration,2018-03-13,2018.2027397260274,4816077
00imgaPlYRrMGn9o83hfmk,LOOSE CHANGE,Brent Faiyaz,3,Solo,2022-07-08,2022.5150684931507,3524320
00ko9WaS4jOX1kEk3gvHjf,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",35,Collaboration,2019-07-26,2019.5671232876712,26510697
00lNx0OcTJrS3MKHcB80HY,You Don't Know Me - Radio Edit,"Jax Jones, RAYE",243,Collaboration,2016-12-09,2017.2630136986302,260282805
00mrTzjxIRuWJY01sRBJmO,Dark Side Of The Moon (feat. Nicki Minaj),"Lil Wayne, Nicki Minaj",1,Collaboration,2018-09-27,2018.7534246575342,877954
