spotify_track_id,song,artist,genres,parent_genres,album,time,all_streams,years_on_chart,song_type
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),"ZAYN,PARTYNEXTDOOR",r&b,R&B,Still Got Time (feat. PARTYNEXTDOOR),03:08,106734890,2017,Collaboration
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,alternative rock,Rock,Hot Fuss,03:42,781058438,2020,Solo
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,alternative rock,Rock,Hot Fuss,03:42,781058438,2021,Solo
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,alternative rock,Rock,Hot Fuss,03:42,781058438,2022,Solo
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,alternative rock,Rock,Hot Fuss,03:42,781058438,2023,Solo
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,alternative rock,Rock,Hot Fuss,03:42,781058438,2024,Solo
00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"Thalia,NATTI NATASHA","latin pop, reggaeton, latin, urbano latino",Latin,No Me Acuerdo,03:37,99336818,2018,Collaboration
00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,"Tropa do Bruxo,DJ Ws da Igrejinha,SMU,Triz,Mc Menor Thalis","funk, funk de bh, brazilian trap, brazilian funk, funk carioca",Hip Hop,Baile do Bruxo,03:41,62094603,2023,Collaboration
00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,"Tropa do Bruxo,DJ Ws da Igrejinha,SMU,Triz,Mc Menor Thalis","funk, funk de bh, brazilian trap, brazilian funk, funk carioca",Hip Hop,Baile do Bruxo,03:41,62094603,2024,Collaboration
00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,"JC NO BEAT,DJ F7,MC Meno Dani,Silva Mc","funk, brazilian funk",Hip Hop,Maria Mariah,01:58,25477272,2023,Collaboration
00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,"JC NO BEAT,DJ F7,MC Meno Dani,Silva Mc","funk, brazilian funk",Hip Hop,Maria Mariah,01:58,25477272,2024,Collaboration
00syWkRGIVQvYsg2OwfBUw,East Side of Sorrow,Zach Bryan,"country, red dirt",Country,Zach Bryan,03:29,20301852,2023,Solo
0163eXbLwh5dFhKa73n9wG,300 Noches,"Belinda,Natanael Cano","latin pop, corridos tumbados, corrido, corridos bélicos, sad sierreño, electro corridos, sierreño, música mexicana, banda",Latin,300 Noches,03:24,22606321,2024,Collaboration
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,pop,Pop,Future Nostalgia,03:41,675204956,2020,Solo
