artist_name,artist_id,image_url
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,https://i.scdn.co/image/ab6761610000e5ebdc93bb227980211b325b9d70
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,https://i.scdn.co/image/ab6761610000e5eb44434ab91c37f5407f8e83b6
Halsey,26VFTg2z8YR0cCuwLzESi2,https://i.scdn.co/image/ab6761610000e5eb7f17140567e7df5799d5c3a9
DJ Snake,540vIaP2JwjQb9dm3aArA4,https://i.scdn.co/image/ab6761610000e5ebca97cf089968b569e29d795c
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36
Clean Bandit,6MDME20pz9RveH9rEXvrOM,https://i.scdn.co/image/ab6761610000e5eb70d80b8ab8e193aef64223ec
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,https://i.scdn.co/image/ab6761610000e5eb44f98903293dccbee09e37bc
Sean Paul,3Isy6kedDrgPYoTS1dazA9,https://i.scdn.co/image/ab6761610000e5eb60c3e9abe7327c0097738f22
Drake,3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Wizkid,3tVQdUvClmAT7URs9V3rsp,https://i.scdn.co/image/ab6761610000e5ebfa2e36a9d14dc11f3233bb4a
Kyla,6TK7fjRPdy2GW2pJzNF23L,https://i.scdn.co/image/ab67616d0000b27357a84c5fd0edb2b290e3d37e
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd
Maroon 5,04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,https://i.scdn.co/image/ab6761610000e5ebca1568791bf7ac0cf34dbc66
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,https://i.scdn.co/image/ab6761610000e5ebb9b77f64bd278ffde2c94428
Shakira,0EmeFodog0BfCgMzAIvKQp,https://i.scdn.co/image/ab6761610000e5eb2528c726e5ddb90a7197e527
Maluma,1r4hJ1h58CWwUQe3MxPuau,https://i.scdn.co/image/ab6761610000e5eba9bc74fbec09e03f06cddf44
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,https://i.scdn.co/image/ab6761610000e5eb7a1fba1bb3618ef71355f82a
Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
James Arthur,4IWBUUAFIplrNtaOHcJPRM,https://i.scdn.co/image/ab6761610000e5eb2a0c6d0343c82be9dd6fce0b
Migos,6oMuImdp5ZcFhWP0ESe6mG,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,https://i.scdn.co/image/ab6761610000e5eba8ce348f34f18241d3249fa9
Major Lazer,738wLrAtLtCtFOLvQBXOXp,https://i.scdn.co/image/ab6761610000e5eb133f44ab343b35c715a4ac97
MØ,0bdfiayQAKewqEvaU6rXCv,https://i.scdn.co/image/ab6761610000e5ebac74129de4352741004c6171
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,https://i.scdn.co/image/ab6761610000e5eb45c3688488f871aace7a4a57
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,https://i.scdn.co/image/ab6761610000e5ebead1540fa76796266fadba33
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd
Starley,02A3cEvlLLCbIMVDrK2GHV,https://i.scdn.co/image/ab6761610000e5eb35f7fd848c6ec8218ec904e8
Ryan Riback,33JQK4UoS2aMPYBfdB5Ftt,https://i.scdn.co/image/ab6761610000e5eb3711298a3766f6ad38dac671
Justin Timberlake,31TPClRtHm23RisEBtV3X7,https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e
Daya,6Dd3NScHWwnW6obMFbl1BH,https://i.scdn.co/image/ab6761610000e5eb540e862652f24fe2988911b2
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535
Steve Aoki,77AiFEVeAVj2ORpC85QVJs,https://i.scdn.co/image/ab6761610000e5ebcf85b39d94c486218a687248
Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,https://i.scdn.co/image/ab6761610000e5ebe169df750e95452a1de99692
Calvin Harris,7CajNmpbOovFoOoasH2HaY,https://i.scdn.co/image/ab6761610000e5eb1e4bcd2bef1896648762dd6b
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,https://i.scdn.co/image/ab6761610000e5eba961383967f3a3a54e794a15
Grey,4lDBihdpMlOalxy1jkUbPl,https://i.scdn.co/image/ab6761610000e5eb6f0ae12d361fa6a480cbf5a0
Zedd,2qxJFvFYMEDqd7ui6kSAcq,https://i.scdn.co/image/ab6761610000e5ebe28762aed82cde1178fb3873
mgk,6TIYQ3jFPwQSRmorSezPxX,https://i.scdn.co/image/ab6761610000e5eb6659c0c409fee150c1f7c879
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,https://i.scdn.co/image/ab6761610000e5eb76470faf6330235edbcb90a9
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,https://i.scdn.co/image/ab6761610000e5eb274df4dfcb960867eccedfb5
Sia,5WUlDfRSoLAfcVSX1WnrxN,https://i.scdn.co/image/ab6761610000e5eb64db06dfda27bb045bc1c2f5
Phoebe Ryan,4N874uPqBka1QiCvnCVOtr,https://i.scdn.co/image/ab6761610000e5eb9960e44634b4a3b6c8f9d83e
CNCO,0eecdvMrqBftK0M1VKhaF4,https://i.scdn.co/image/ab6761610000e5ebe61627c00d64dcb4de8001d2
DRAM,5M0lbkGluOPXLeFjApw8r8,https://i.scdn.co/image/ab6761610000e5ebee20a82c49b45b9fbc3baead
Lil Yachty,6icQOAFXDZKsumw3YXyusw,https://i.scdn.co/image/ab6761610000e5eb86c7c38d4c8c461dba55035c
Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,https://i.scdn.co/image/ab6761610000e5eb85e71ac37632766429b0c2cb
Seeb,5iNrZmtVMtYev5M9yoWpEq,https://i.scdn.co/image/ab6761610000e5eb4a11d09ad6ead945d9376e67
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,https://i.scdn.co/image/ab6761610000e5eb4a350b04a3f9bb77a30b004e
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,https://i.scdn.co/image/ab6761610000e5ebf0789cd783c20985ec3deb4e
BIA,6veh5zbFpm31XsPdjBgPER,https://i.scdn.co/image/ab6761610000e5ebd75a6bc718cf1e7ee54f3824
Sky Rompiendo,51XrH5fQP2oIQynuKxSWcW,https://i.scdn.co/image/ab6761610000e5eb13a70d2887a28d861b437b1f
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,https://i.scdn.co/image/ab6761610000e5eb5acb3cb0a8b87d3952738b97
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,https://i.scdn.co/image/ab6761610000e5eb24b3c0f33bc5e3f6a53f84d7
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,https://i.scdn.co/image/ab6761610000e5eb6cde43f126518af0ef8eddc2
Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,https://i.scdn.co/image/ab6761610000e5eb1c0f358293ec7b223fd91fca
The Vamps,7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab6761610000e5eb77ef80571a40d9d19cf52208
Matoma,4YXycRbyyAE0wozTk7QMEq,https://i.scdn.co/image/ab6761610000e5eb9e89c8d25b3f4b4be014f2a8
Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,https://i.scdn.co/image/ab6761610000e5eb1382d5a1d6a664832ec547a8
RAYE,5KKpBU5eC2tJDzf0wmlRp2,https://i.scdn.co/image/ab6761610000e5eb5e4949a1e3073b5a34b9d938
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,https://i.scdn.co/image/ab6761610000e5ebd5594e3ae145bbb2c096366d
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,https://i.scdn.co/image/ab6761610000e5eb815e520e3ce7fe210046ba66
Aminé,3Gm5F95VdRxW3mqCn8RPBJ,https://i.scdn.co/image/ab6761610000e5ebe7730231c2411fd2df0c03f9
Sage The Gemini,6d47Z08T4snK50HgTEHo5Z,https://i.scdn.co/image/ab6761610000e5ebc654487e4de3245e2d2d89ab
John Legend,5y2Xq6xcjJb2jVM54GHK3t,https://i.scdn.co/image/ab6761610000e5eb01784e44ffd1a339350f4417
Nevada,15NtJjjHRFybdNSMyM9smT,https://i.scdn.co/image/ab6761610000e5eb82c191ba30209be27e1585d9
Mark Morrison,6V3F8MZrOKdT9fU686ybE9,https://i.scdn.co/image/ab6761610000e5eb28ce7bddd2d283e8e0f3141f
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,https://i.scdn.co/image/ab6761610000e5eb8ffb1b02e4435c5176b28ed2
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,https://i.scdn.co/image/ab6761610000e5ebbf753c009fd9c2d53351dd3c
Zion & Lennox,21451j1KhjAiaYKflxBjr1,https://i.scdn.co/image/ab6761610000e5ebfa844599a8631cca451a93e5
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,https://i.scdn.co/image/ab6761610000e5eb7619ca2683b434e139040f70
Alok,0NGAZxHanS9e0iNHpR8f2W,https://i.scdn.co/image/ab6761610000e5ebf7d1bdca65e1cefd4e60c379
Bruno Martini,5veVxxPm1vzgi6pO2iVA8L,https://i.scdn.co/image/ab6761610000e5eb3d9bd1ac9d00c9f45263ad25
Zeeba,7qPLO2XOUaRrRxkvLZ3AEK,https://i.scdn.co/image/ab6761610000e5ebab0d4228f1c3f40790bf32fa
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,https://i.scdn.co/image/ab6761610000e5eb869ddcc058c5ff2a459ad8d5
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f
Cheat Codes,7DMveApC7UnC2NPfPvlHSU,https://i.scdn.co/image/ab6761610000e5ebcb85c5aad19e9ccdac03aab4
Big Sean,0c173mlxpT3dSFRgMO8XPh,https://i.scdn.co/image/ab6761610000e5eb3d5b14b45d4c3d10d23b03ff
DNCE,6T5tfhQCknKG4UnH90qGnz,https://i.scdn.co/image/ab6761610000e5ebf516ed43c65fe21e21a7c5bd
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,https://i.scdn.co/image/ab6761610000e5ebd5976263fc4cfc15b6627f7b
JP Cooper,4kYGAK2zu9EAomwj3hXkXy,https://i.scdn.co/image/ab6761610000e5ebdaa277bb453ad8863ca5e519
Desiigner,7pFeBzX627ff0VnN6bxPR4,https://i.scdn.co/image/ab6761610000e5eb7142aa94e6774b71d88eb3bd
NEIKED,5H6xmHXjsq98NLbEjuE29f,https://i.scdn.co/image/ab6761610000e5eba4bf6df5107fe7b721066b97
Dyo,4H1PNuHElBLVok0lnYMrRb,https://i.scdn.co/image/ab6761610000e5eb67cb5f000aae59377fcb5cf8
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,https://i.scdn.co/image/ab6761610000e5eb99a6ccc4aae5ae5404c9eb30
Nyla,4VZY0nxYMSNotbS7WjNVQy,https://i.scdn.co/image/4533db9f5db75bf8dd362b995876418a89121fa0
